CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2;Passivo Total;34118446.0000000000;S
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2;Passivo Total;30783788.0000000000;S
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.01;Passivo Circulante;2750625.0000000000;S
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.01;Passivo Circulante;5261918.0000000000;S
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.01.01;Obrigações Sociais e Trabalhistas;463527.0000000000;S
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.01.01;Obrigações Sociais e Trabalhistas;313917.0000000000;S
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.01.01.01;Obrigações Sociais;0.0000000000;S
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.01.01.01;Obrigações Sociais;0.0000000000;S
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.01.01.02;Obrigações Trabalhistas;463527.0000000000;S
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.01.01.02;Obrigações Trabalhistas;313917.0000000000;S
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.01.02;Fornecedores;879086.0000000000;S
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.01.02;Fornecedores;818398.0000000000;S
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.01.02.01;Fornecedores Nacionais;879086.0000000000;S
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.01.02.01;Fornecedores Nacionais;818398.0000000000;S
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.01.02.01.01;Fornecedores;537430.0000000000;N
