CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2019-01-01;2019-12-31;7.01;Receitas;6340576.0000000000;S
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2020-01-01;2020-12-31;7.01;Receitas;4294078.0000000000;S
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2019-01-01;2019-12-31;7.01.01;Vendas de Mercadorias, Produtos e Serviços;7027194.0000000000;S
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2020-01-01;2020-12-31;7.01.01;Vendas de Mercadorias, Produtos e Serviços;5899183.0000000000;S
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2019-01-01;2019-12-31;7.01.02;Outras Receitas;224175.0000000000;S
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2020-01-01;2020-12-31;7.01.02;Outras Receitas;32406.0000000000;S
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2019-01-01;2019-12-31;7.01.03;Receitas refs. à Construção de Ativos Próprios;0.0000000000;S
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2020-01-01;2020-12-31;7.01.03;Receitas refs. à Construção de Ativos Próprios;0.0000000000;S
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2019-01-01;2019-12-31;7.01.04;Provisão/Reversão de Créds. Liquidação Duvidosa;-910793.0000000000;S
02.800.026/0001-40;2020-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2020-01-01;2020-12-31;7.01.04;Provisão/Reversão de Créds. Liquidação Duvidosa;-1637511.0000000000;S
